,detected_date,img_src,href,product_title,price_value
10,2022-10-01 23:39:32,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/caf3/4dae1805999f5973d7a7318aaaf778ede57f3283afe071263a68ce2100d3.jpg,https://www.coupang.com/vp/products/6239307468?itemId=12584883683&vendorItemId=72719638486&sourceType=srp_product_ads&clickEventId=142bfc1c-564e-4171-adaa-480af03c2d56&korePlacement=15&koreSubPlacement=11&clickEventId=142bfc1c-564e-4171-adaa-480af03c2d56&korePlacement=15&koreSubPlacement=11&q=vans&itemsCount=36&searchId=753d509e79984e97a0ffd308b84f3c33&rank=10,[플로우커머스] 겨울 남성청바지 남자기모청바지 기모바지 스판 MNJ-01,"39,900"
11,2022-10-01 23:39:32,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/5a26/84299d656380a00db23eb92e851b38569677b9c1983eedd47cbaf775bccd.jpg,https://www.coupang.com/vp/products/6788001522?itemId=15984331267&vendorItemId=83190171640&sourceType=srp_product_ads&clickEventId=089bc894-8dc6-49b9-ae17-378342869c6c&korePlacement=15&koreSubPlacement=12&clickEventId=089bc894-8dc6-49b9-ae17-378342869c6c&korePlacement=15&koreSubPlacement=12&q=vans&itemsCount=36&searchId=753d509e79984e97a0ffd308b84f3c33&rank=11,댄디보 데이 스판 밴딩팬츠 5컬러 사계절 남성청바지,"26,900"
12,2022-10-01 23:39:32,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/1b35/c4c78b6253b35d9f81bd496d2ff129578b3e1e1a20f63db2e8569e3db17e.jpg,https://www.coupang.com/vp/products/6537300226?itemId=14541079103&vendorItemId=81783494709&q=vans&itemsCount=36&searchId=753d509e79984e97a0ffd308b84f3c33&rank=12,반스 스케이트 로우 스니커즈 VANS {VN0A4UUK6BT1}_VN_UA SK8-Low_19 FLVNCA1U17,"49,000"
13,2022-10-01 23:39:32,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/380f/7c317c87ad6523817d16a4e4431d70eba72db8f8d69c64979e6d9b273ba8.jpg,https://www.coupang.com/vp/products/6187639869?itemId=12192874991&vendorItemId=79463956143&q=vans&itemsCount=36&searchId=753d509e79984e97a0ffd308b84f3c33&rank=13,반스 스케이트-로우 블랙 VN0A4UUK4W7,"139,000"
14,2022-10-01 23:39:32,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/df0a/4952ccd1ccacabb89f80e51ec111f940e1fe8feb743434f454cd919d93b6.jpg,https://www.coupang.com/vp/products/6422569708?itemId=13824938100&vendorItemId=81075152005&q=vans&itemsCount=36&searchId=753d509e79984e97a0ffd308b84f3c33&rank=14,반스 스타일 36 데콘 스니커즈 {VN0A3MVLY281}_VN_UA Style 36 Decon SF_19,"49,000"
15,2022-10-01 23:39:32,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/0j02wg8s/497ed744282b470bb1efa28fb6534d4c.png,https://www.coupang.com/vp/products/6646065153?itemId=15210243607&vendorItemId=82431276903&q=vans&itemsCount=36&searchId=753d509e79984e97a0ffd308b84f3c33&rank=15,반스 크루즈 투 CC VN0A5KR59LF,"109,000"
16,2022-10-01 23:39:32,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/2d97/06b960528fb60b125dfa7b2164815374cf4a427cb9cef1dda0df50981625.jpg,https://www.coupang.com/vp/products/6603089195?itemId=14942757083&vendorItemId=83184599216&q=vans&itemsCount=36&searchId=753d509e79984e97a0ffd308b84f3c33&rank=16,[국내매장판] 반스 클래식 슬립온 스택폼 립 니트 블랙 트루 화이트 VN0A7Q5RB111,"69,000"
17,2022-10-01 23:39:32,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/jfzkzzaz/3dbb73df291843dca979983a1a4e147b.png,https://www.coupang.com/vp/products/6624165104?itemId=15073612239&vendorItemId=82295854149&q=vans&itemsCount=36&searchId=753d509e79984e97a0ffd308b84f3c33&rank=17,반스 콤피쿠시 올드 스쿨 스니커즈 VN0A3WMAVNT,"71,500"
18,2022-10-01 23:39:32,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/zl3svdre/8117f2a5941c4334b57d5e5457c1c66c.jpg,https://www.coupang.com/vp/products/4673553509?itemId=5846607379&vendorItemId=73144882105&sourceType=srp_product_ads&clickEventId=e0156776-4483-4cea-a970-e6bab10bbf76&korePlacement=15&koreSubPlacement=19&clickEventId=e0156776-4483-4cea-a970-e6bab10bbf76&korePlacement=15&koreSubPlacement=19&q=vans&itemsCount=36&searchId=753d509e79984e97a0ffd308b84f3c33&rank=18,풋인솔 키높이밴드 뒤꿈치 실리콘 깔창 통풍구멍 무,"9,370"
19,2022-10-01 23:39:32,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/0333/197c40a2dd430f6e2b7ab4f7cd2615cc5b78c5cf60334abcbac90f3fa80d.jpg,https://www.coupang.com/vp/products/6646523878?itemId=15212367290&vendorItemId=82805515402&q=vans&itemsCount=36&searchId=753d509e79984e97a0ffd308b84f3c33&rank=19,(국내매장판/AS가능) 반스 커플 어센틱 운동화 스니커즈 체커보드 트렌스루센트 오렌지 OLD SKOOL AM,"59,000"
